"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_KO"	"Conc_WT"	"Fold"	"p.value"	"FDR"	"X26DKO"	"X960DKO"	"C922"	"C923"
"2539"	"chr5"	90460683	90460883	201	"*"	4.50128157860819	5.40667944328847	1.5234891603514	0.00176125047200633	0.000391615758895066	0.684036066326554	61.54	23.3	0	5.75
"2813"	"chr6"	143166931	143167131	201	"*"	4.91318716448203	3.33896348026881	5.64799536968871	-0.00258932923679669	0.000392447542356026	0.684036066326554	12.7	7.54	60.04	40.25
"1370"	"chr16"	91728531	91728731	201	"*"	5.40556776425547	4.52869612824271	5.9470360594208	-0.00248487331265592	0.00673962781588873	0.999683670471574	21.49	24.68	66.71	56.68
"861"	"chr13"	30332636	30332836	201	"*"	3.44608329230937	0.894702909150654	4.31746037007304	-0.00104303942427358	0.00718198095692865	0.999683670471574	0.98	2.74	30.02	9.86
"2385"	"chr4"	129742267	129742467	201	"*"	4.42130281304265	3.14578811527041	5.08753424777001	-0.00165961431825074	0.0102312690594495	0.999683670471574	8.79	8.91	43.36	24.64
"3463"	"chrX"	108832806	108833006	201	"*"	3.90101280738138	2.31804354902215	4.63757942239589	-0.00129162803935719	0.0128913331884012	0.999683670471574	5.86	4.11	33.36	16.43
"1709"	"chr19"	23140842	23141042	201	"*"	5.3803413462918	4.59106204342857	5.88762037933634	-0.00221646015400345	0.0137854063495616	0.999683670471574	28.33	19.88	63.37	55.03
"1326"	"chr16"	56598564	56598764	201	"*"	5.15574206294212	4.28608363173241	5.69450229308168	-0.00205360493012273	0.01449691405056	0.999683670471574	20.51	18.51	60.04	43.53
"815"	"chr12"	113140548	113140748	201	"*"	4.12627496558983	2.74418535876985	4.81900326476371	-0.0013229737357606	0.0187947758241014	0.999683670471574	5.86	7.54	40.03	16.43
"1988"	"chr2"	158028460	158028660	201	"*"	3.34530192088319	1.04002891090506	4.19143633766862	-0.000841138866736196	0.0212749882182557	0.999683670471574	0	4.11	26.68	9.86
"3257"	"chr8"	119617587	119617787	201	"*"	4.01386264121817	2.52975170013024	4.72978345413675	-0.00119281106317247	0.0213878797701358	0.999683670471574	1.95	9.6	33.36	19.71
"1536"	"chr17"	78736603	78736803	201	"*"	4.68876667783905	3.76524482492463	5.24730820943833	-0.00160008055076009	0.022832916364686	0.999683670471574	10.74	16.45	26.68	49.28
"1466"	"chr17"	40934631	40934831	201	"*"	5.41825731653627	4.62803207623829	5.9259212595473	-0.00182722487992873	0.0229914042773113	0.999683670471574	37.12	12.34	56.7	64.89
"3072"	"chr7"	141221822	141222022	201	"*"	5.00876794844893	4.16933954129354	5.53597349015361	-0.00182290319832572	0.0231268175892464	0.999683670471574	19.54	16.45	53.37	39.43
"3192"	"chr8"	77610710	77610910	201	"*"	4.10036740747419	2.88470255595666	4.75060385445171	-0.00133227958498333	0.0234285108087746	0.999683670471574	5.86	8.91	30.02	23.82
"1761"	"chr2"	6195550	6195750	201	"*"	4.4919941822798	3.4150799865396	5.10170974364278	-0.00140700920319005	0.0263997017925687	0.999683670471574	4.88	16.45	33.36	35.32
"2963"	"chr7"	79273016	79273216	201	"*"	5.95258679057133	5.26244721986029	6.41747051915298	-0.00211434162510678	0.0274006995979101	0.999683670471574	39.07	37.7	116.74	54.21
"516"	"chr11"	17953720	17953920	201	"*"	4.58236943695868	3.6169864881671	5.15560584352063	-0.00148163856824052	0.0296329937116271	0.999683670471574	15.63	8.91	43.36	27.93
"532"	"chr11"	23305783	23305983	201	"*"	3.25129080309916	4.12114567383466	0.716134238293795	0.000758427719198399	0.0303177413796413	0.999683670471574	22.47	12.34	0	3.29
"101"	"chr1"	74284762	74284962	201	"*"	5.6681065483139	5.04418809766942	6.10223453292102	-0.00205087429304107	0.0311505797984899	0.999683670471574	42	23.99	70.05	67.35
"1636"	"chr18"	60660062	60660262	201	"*"	4.69778097435008	3.83099736586258	5.23545670137199	-0.00158105591454064	0.0315259807424966	0.999683670471574	12.7	15.76	40.03	35.32
