"seqnames"	"start"	"end"
"1"	"chr5"	90460684	90460883
"19"	"chr11"	23305784	23305983
"31"	"chr17"	61795127	61795326
"33"	"chr10"	121626512	121626711
"35"	"chr5"	33378472	33378671
"38"	"chr1"	19535569	19535768
"63"	"chr13"	58128657	58128856
"74"	"chr9"	41157531	41157730
"91"	"chr13"	111686189	111686388
"125"	"chr11"	72607163	72607362
"137"	"chr15"	100227870	100228069
"139"	"chr17"	30004538	30004737
"149"	"chr10"	84576628	84576827
"163"	"chr11"	5955740	5955939
"164"	"chr4"	15957908	15958107
"167"	"chr19"	21472443	21472642
"168"	"chr14"	70577617	70577816
"181"	"chr16"	8829793	8829992
"193"	"chr19"	6140957	6141156
"194"	"chr2"	105224121	105224320
"205"	"chr3"	90052590	90052789
"207"	"chr4"	46602014	46602213
"212"	"chr4"	15148987	15149186
"227"	"chr17"	10500956	10501155
"233"	"chr4"	89128333	89128532
"236"	"chr8"	73353566	73353765
"241"	"chr17"	74295141	74295340
"249"	"chr7"	133708949	133709148
"255"	"chrUn_JH584304"	44572	44771
"265"	"chr8"	111876718	111876917
"284"	"chrUn_JH584304"	65765	65964
"290"	"chr17"	47629494	47629693
"301"	"chr8"	116978754	116978953
